Artist,Song,Sentiment,Followers,Popularity,Genre
westlife,no more heroes,Negative,3155018.0,69.0,"['boy band', 'europop']"
dean martin,just say i love her,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,drinking champagne,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,you'll always be the one i love,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,"when the red, red robin comes bob, bob, bobbin' along",Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,old yellow line,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,solitaire,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,ain't gonna try anymore,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,i'll never break your heart,Negative,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,innamorata,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,the river seine,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,that's amore,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,take your girlie to the movies,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,bet-i-cha,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,new romantics,Positive,58554324.0,94.0,['pop']
taylor swift,stay beautiful,Positive,58554324.0,94.0,['pop']
backstreet boys,the one,Negative,4721166.0,74.0,"['boy band', 'dance pop']"
taylor swift,mandolin,Positive,58554324.0,94.0,['pop']
dean martin,out in the cold again,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,is it just me,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
taylor swift,the lucky one,Positive,58554324.0,94.0,['pop']
westlife,i have a dream,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,just in time,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,brahm's lullaby,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,la paloma,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,i did it for you,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,face the music,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,my guiding star,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,miracle,Negative,3155018.0,69.0,"['boy band', 'europop']"
westlife,puzzle of my heart,Positive,3155018.0,69.0,"['boy band', 'europop']"
backstreet boys,masquerade,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
taylor swift,enchanted,Positive,58554324.0,94.0,['pop']
dean martin,good morning life,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,kiss,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,hit you with the real thing,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,"blue, blue day",Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,heart without a home,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,mambo italiano,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,rainbows are back in style,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,honey baby,Negative,58554324.0,94.0,['pop']
dean martin,the lady with the big umbrella,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,on the sunny side of the street,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,on an evening in roma (sott'er celo de roma),Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,no one else comes close,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,all in a night's work,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,hominy grits,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,let the music heal your soul,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,sleepy time gal,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,open up the doghouse (two cats are coming in),Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,change of heart,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,home,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,try,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
backstreet boys,my heart stays with you,Negative,4721166.0,74.0,"['boy band', 'dance pop']"
westlife,can't loose what you never had,Negative,3155018.0,69.0,"['boy band', 'europop']"
taylor swift,stay stay stay,Negative,58554324.0,94.0,['pop']
dean martin,carolina moon,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,watching the world go by,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,everybody's had the blues,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,take care,Negative,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,release me (and let me love again),Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,last night you saved my life,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,the big blue sky,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,think about me,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,we'll sing in the sunshine,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,queen of my heart,Negative,3155018.0,69.0,"['boy band', 'europop']"
taylor swift,thug story,Positive,58554324.0,94.0,['pop']
dean martin,peddler man (ten i loved),Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,beyond the sea,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,turn to me,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,jingle bells,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,the day you came along,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,l.o.v.e,Positive,3155018.0,69.0,"['boy band', 'europop']"
westlife,poet's heart,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,(remember me) i'm the one who loves you,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,imagination,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,i'll gladly make the same mistake again,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,need you now,Negative,58554324.0,94.0,['pop']
backstreet boys,passionate,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,somewhere there's a someone,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,cornelia street,Negative,58554324.0,94.0,['pop']
westlife,heal,Negative,3155018.0,69.0,"['boy band', 'europop']"
dean martin,in the chapel in the moonlight,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,cheatin' on me,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,forgetting you,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,from lover to loser,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,children of the world,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,that old clock on the wall,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,heaven can wait,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,tonight,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,i know your mother loves you,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,you must have had a broken heart,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,i can't give you anything but love,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,mack the knife,Positive,3155018.0,69.0,"['boy band', 'europop']"
taylor swift,look what you made me do,Negative,58554324.0,94.0,['pop']
backstreet boys,heaven in your eyes,Negative,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,it's a big wide wonderful world,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,all because of ellen,Negative,58554324.0,94.0,['pop']
dean martin,hark! the herald angels sing,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,the peanut vendor,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,over and out,Negative,3155018.0,69.0,"['boy band', 'europop']"
backstreet boys,downpour,Negative,4721166.0,74.0,"['boy band', 'dance pop']"
taylor swift,riptide,Negative,58554324.0,94.0,['pop']
backstreet boys,show 'em (what you're made of),Positive,4721166.0,74.0,"['boy band', 'dance pop']"
westlife,i left my heart in san francisco,Positive,3155018.0,69.0,"['boy band', 'europop']"
taylor swift,i knew you were trouble (remix),Negative,58554324.0,94.0,['pop']
dean martin,love thy neighbor,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,the sun is shinin' (on everybody but me),Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,happily never after,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
backstreet boys,let's do it for love,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
westlife,love can build a bridge,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,never before,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,baby won't you please come home,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,thirty more miles to san diego,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,i want it that way,Negative,4721166.0,74.0,"['boy band', 'dance pop']"
taylor swift,clean,Positive,58554324.0,94.0,['pop']
backstreet boys,international luv,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
taylor swift,superman,Positive,58554324.0,94.0,['pop']
dean martin,i'm sitting on the top of the world,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,all i do is dream of you,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,i promise you that,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,the night is young and you're so beautiful,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,ain't that a kick in the head,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,it keeps right on a-hurtin',Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,dream,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,blue smoke,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,return to me,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,white horse,Negative,58554324.0,94.0,['pop']
dean martin,let's put out the lights (and go to sleep),Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,love put a song in my heart,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,in a world like this,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
taylor swift,ten dollars and a six pack,Negative,58554324.0,94.0,['pop']
dean martin,gentle on my mind,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,i lay my love on you,Positive,3155018.0,69.0,"['boy band', 'europop']"
backstreet boys,you can let go,Negative,4721166.0,74.0,"['boy band', 'dance pop']"
westlife,one last time,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,peg o' my heart,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,there's your trouble,Positive,58554324.0,94.0,['pop']
dean martin,who's got the action,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,repair,Positive,3155018.0,69.0,"['boy band', 'europop']"
backstreet boys,unsuspecting sunday afternoon,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
westlife,miss you when i'm dreaming,Negative,3155018.0,69.0,"['boy band', 'europop']"
dean martin,la vie en rose,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,where can i go without you,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,don't you remember,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,never knew i was losing you,Positive,3155018.0,69.0,"['boy band', 'europop']"
taylor swift,brought up that way,Positive,58554324.0,94.0,['pop']
westlife,miss you,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,if i had you,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,rain,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,i'll be home for christmas,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,in the misty moonlight,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,the man,Negative,58554324.0,94.0,['pop']
backstreet boys,love will keep you up all night,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,your the right one,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,oh boy! oh boy! oh boy! oh boy! oh boy!,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,until the end of time,Negative,3155018.0,69.0,"['boy band', 'europop']"
taylor swift,shake it off,Negative,58554324.0,94.0,['pop']
backstreet boys,that's what she said,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
westlife,another life,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,raindrops keep fallin' on my head,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,i'm in love with you,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,christmases when you were mine,Negative,58554324.0,94.0,['pop']
dean martin,s'posin',Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,i'm yours,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,i wonder who's kissing her now,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,clementine,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,perfect mountain,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,live for the little things,Positive,58554324.0,94.0,['pop']
taylor swift,lover,Positive,58554324.0,94.0,['pop']
new kids on the block,step by step,Positive,660376.0,56.0,"['boy band', 'dance pop']"
new kids on the block,please don't go girl,Positive,660376.0,56.0,"['boy band', 'dance pop']"
backstreet boys,welcome to my heart,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
westlife,bop bop baby,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,little ole wine drinker me,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,song for the unloved,Negative,4721166.0,74.0,"['boy band', 'dance pop']"
westlife,i wont let you down,Negative,3155018.0,69.0,"['boy band', 'europop']"
taylor swift,tell me why,Negative,58554324.0,94.0,['pop']
dean martin,right kind of woman,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,bad blood,Negative,58554324.0,94.0,['pop']
backstreet boys,mr. a,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
taylor swift,beautiful ghosts,Positive,58554324.0,94.0,['pop']
new kids on the block,you got it (the right stuff),Positive,660376.0,56.0,"['boy band', 'dance pop']"
dean martin,somebody loves you,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,my heart reminds me,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,home,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,about a quarter to nine,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,i heart ?,Negative,58554324.0,94.0,['pop']
dean martin,white christmas,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,the christmas waltz,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,i don't care if the sun don't shine,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,butterfly kisses,Positive,3155018.0,69.0,"['boy band', 'europop']"
taylor swift,state of grace,Positive,58554324.0,94.0,['pop']
taylor swift,london boy,Positive,58554324.0,94.0,['pop']
westlife,we are one,Positive,3155018.0,69.0,"['boy band', 'europop']"
westlife,try again,Positive,3155018.0,69.0,"['boy band', 'europop']"
westlife,on the wings of love,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,i have but one heart,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,come fly with me,Positive,3155018.0,69.0,"['boy band', 'europop']"
backstreet boys,larger than life,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
taylor swift,safe and sound,Positive,58554324.0,94.0,['pop']
dean martin,chee chee-oo chee,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,i need you tonight,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,what a diff'rence a day made,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,i'm gonna change everything,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,blue memories,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,buttercup a golden hair,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,i can't believe that you're in love with me,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,any other way,Negative,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,until you love someone,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,houston,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,muskrat ramble,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,when someone thinks you're wonderful,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,paper rings,Negative,58554324.0,94.0,['pop']
